NOTE,FREQ_HZ,WL_CM,WL_IN,OCTAVE
C0,16.35,2109.89,830.6653543,0
C#0_Db0,17.32,1991.47,784.0433071,0
D0,18.35,1879.69,740.0354331,0
D#0_Eb0,19.45,1774.2,698.503937,0
E0,20.6,1674.62,659.2992126,0
F0,21.83,1580.63,622.2952756,0
F#0_Gb0,23.12,1491.91,587.3661417,0
G0,24.5,1408.18,554.4015748,0
G#0_Ab0,25.96,1329.14,523.2834646,0
A0,27.5,1254.55,493.9173228,0
A#0_Bb0,29.14,1184.13,466.1929134,0
B0,30.87,1117.67,440.0275591,0
C1,32.7,1054.94,415.3307087,1
C#1_Db1,34.65,995.73,392.019685,1
D1,36.71,939.85,370.019685,1
D#1_Eb1,38.89,887.1,349.2519685,1
E1,41.2,837.31,329.6496063,1
F1,43.65,790.31,311.1456693,1
F#1_Gb1,46.25,745.96,293.6850394,1
G1,49,704.09,277.2007874,1
G#1_Ab1,51.91,664.57,261.6417323,1
A1,55,627.27,246.9566929,1
A#1_Bb1,58.27,592.07,233.0984252,1
B1,61.74,558.84,220.015748,1
C2,65.41,527.47,207.6653543,2
C#2_Db2,69.3,497.87,196.011811,2
D2,73.42,469.92,185.007874,2
D#2_Eb2,77.78,443.55,174.6259843,2
E2,82.41,418.65,164.8228346,2
F2,87.31,395.16,155.5748031,2
F#2_Gb2,92.5,372.98,146.8425197,2
G2,98,352.04,138.5984252,2
G#2_Ab2,103.83,332.29,130.8228346,2
A2,110,313.64,123.480315,2
A#2_Bb2,116.54,296.03,116.5472441,2
B2,123.47,279.42,110.007874,2
C3,130.81,263.74,103.8346457,3
C#3_Db3,138.59,248.93,98.00393701,3
D3,146.83,234.96,92.50393701,3
D#3_Eb3,155.56,221.77,87.31102362,3
E3,164.81,209.33,82.41338583,3
F3,174.61,197.58,77.78740157,3
F#3_Gb3,185,186.49,73.42125984,3
G3,196,176.02,69.2992126,3
G#3_Ab3,207.65,166.14,65.40944882,3
A3,220,156.82,61.74015748,3
A#3_Bb3,233.08,148.02,58.27559055,3
B3,246.94,139.71,55.00393701,3
C4,261.63,131.87,51.91732283,4
C#4_Db4,277.18,124.47,49.00393701,4
D4,293.66,117.48,46.2519685,4
D#4_Eb4,311.13,110.89,43.65748031,4
E4,329.63,104.66,41.20472441,4
F4,349.23,98.79,38.89370079,4
F#4_Gb4,369.99,93.24,36.70866142,4
G4,392,88.01,34.6496063,4
G#4_Ab4,415.3,83.07,32.70472441,4
A4,440,78.41,30.87007874,4
A#4_Bb4,466.16,74.01,29.13779528,4
B4,493.88,69.85,27.5,4
C5,523.25,65.93,25.95669291,5
C#5_Db5,554.37,62.23,24.5,5
D5,587.33,58.74,23.12598425,5
D#5_Eb5,622.25,55.44,21.82677165,5
E5,659.25,52.33,20.6023622,5
F5,698.46,49.39,19.44488189,5
F#5_Gb5,739.99,46.62,18.35433071,5
G5,783.99,44.01,17.32677165,5
G#5_Ab5,830.61,41.54,16.35433071,5
A5,880,39.2,15.43307087,5
A#5_Bb5,932.33,37,14.56692913,5
B5,987.77,34.93,13.7519685,5
C6,1046.5,32.97,12.98031496,6
C#6_Db6,1108.73,31.12,12.2519685,6
D6,1174.66,29.37,11.56299213,6
D#6_Eb6,1244.51,27.72,10.91338583,6
E6,1318.51,26.17,10.30314961,6
F6,1396.91,24.7,9.724409449,6
F#6_Gb6,1479.98,23.31,9.177165354,6
G6,1567.98,22,8.661417323,6
G#6_Ab6,1661.22,20.77,8.177165354,6
A6,1760,19.6,7.716535433,6
A#6_Bb6,1864.66,18.5,7.283464567,6
B6,1975.53,17.46,6.874015748,6
C7,2093,16.48,6.488188976,7
C#7_Db7,2217.46,15.56,6.125984252,7
D7,2349.32,14.69,5.783464567,7
D#7_Eb7,2489.02,13.86,5.456692913,7
E7,2637.02,13.08,5.149606299,7
F7,2793.83,12.35,4.862204724,7
F#7_Gb7,2959.96,11.66,4.590551181,7
G7,3135.96,11,4.330708661,7
G#7_Ab7,3322.44,10.38,4.086614173,7
A7,3520,9.8,3.858267717,7
A#7_Bb7,3729.31,9.25,3.641732283,7
B7,3951.07,8.73,3.437007874,7
C8,4186.01,8.24,3.244094488,8
C#8_Db8,4434.92,7.78,3.062992126,8
D8,4698.63,7.34,2.88976378,8
D#8_Eb8,4978.03,6.93,2.728346457,8
E8,5274.04,6.54,2.57480315,8
F8,5587.65,6.17,2.429133858,8
F#8_Gb8,5919.91,5.83,2.295275591,8
G8,6271.93,5.5,2.165354331,8
G#8_Ab8,6644.88,5.19,2.043307087,8
A8,7040,4.9,1.929133858,8
A#8_Bb8,7458.62,4.63,1.822834646,8
B8,7902.13,4.37,1.720472441,8
